PitchType,HorzBreak,InducedVertBreak,Pitcher
Fastball,-10.33082148,14.48738122,pitcher1
Fastball,-10.88187983,19.46842496,pitcher1
Fastball,-12.34591549,19.97598786,pitcher1
Curveball,17.236359699999998,-10.99224102,pitcher1
Curveball,17.97908847,-3.5967402789999996,pitcher1
Fastball,-9.728748238,24.37198408,pitcher1
Fastball,-8.226035145,15.50860113,pitcher1
Curveball,12.79204679,-11.17747955,pitcher1
Fastball,-11.95606475,13.09168924,pitcher1
Fastball,-9.553914166,18.57912247,pitcher1
Fastball,-12.44903026,12.44713641,pitcher1
Fastball,-6.482130722999999,19.34306444,pitcher1
Fastball,-15.39744675,12.88118652,pitcher1
Fastball,-11.10216079,20.35771302,pitcher1
Fastball,-13.54527088,11.87151821,pitcher1
Fastball,-6.39911098,24.19033684,pitcher1
Fastball,-10.40531353,20.0466359,pitcher1
Curveball,19.49861669,1.9772359730000002,pitcher1
Fastball,-7.875671046,17.72308189,pitcher1
Fastball,-7.3720132760000014,16.7739657,pitcher1
Curveball,15.78301651,-12.09915981,pitcher1
Fastball,-10.64588977,20.24970969,pitcher1
Fastball,-12.3902166,15.82080875,pitcher1
Fastball,-6.389502018,17.01812857,pitcher1
Curveball,11.03593823,-10.09718724,pitcher1
Curveball,14.26311551,-7.5723823910000005,pitcher1
Fastball,-16.95549657,14.17668475,pitcher1
Fastball,-13.25252332,13.49254236,pitcher1
Fastball,-11.94585669,15.07727745,pitcher1
Fastball,-12.74782589,21.19279062,pitcher1
Curveball,13.30676918,-7.108420578,pitcher1
Curveball,12.42803554,-10.46406823,pitcher1
Fastball,-4.546944303,16.41049528,pitcher1
Fastball,-17.36500919,12.64157946,pitcher1
Fastball,-13.78706654,14.19783437,pitcher1
Fastball,-7.49269001,18.78246707,pitcher1
Curveball,16.54088933,-8.746737764,pitcher1
Fastball,-10.35461641,17.4372845,pitcher1
Fastball,-13.61711979,16.97705822,pitcher1
Fastball,-11.38474672,20.23779428,pitcher1
Fastball,12.50910973,5.502367593,pitcher1
Curveball,21.11853194,-7.7892373070000005,pitcher1
Fastball,-9.133998312000001,16.93915865,pitcher1
Fastball,-12.93087434,7.365969585,pitcher1
Fastball,-13.90061674,13.74161234,pitcher1
Fastball,-5.747580556,22.17930216,pitcher1
Fastball,-15.02866746,14.15726012,pitcher1
Fastball,-16.44720641,9.315969235,pitcher1
Fastball,-16.91335511,12.17209729,pitcher1
Fastball,-11.27041798,19.91533371,pitcher1
Fastball,-11.69926459,15.85529434,pitcher1
Fastball,-12.682787199999998,17.47197567,pitcher1
Curveball,16.10739758,0.7150776759999999,pitcher1
Fastball,-12.06014613,20.30184611,pitcher1
Fastball,-13.87197639,25.939120199999998,pitcher1
Fastball,-14.94159074,14.78732446,pitcher1
Fastball,-2.20657305,22.70999129,pitcher1
Curveball,17.41365305,-6.705339454,pitcher1
