BatterSide,Umpire,PlateLocSide,PlateLocHeight,PitchCall
Right,Ump1,-0.7279902097,2.269844736,StrikeCalled
Left,Ump1,1.125035752,3.143012292,StrikeCalled
Left,Ump1,0.5024693883,3.35875251,StrikeCalled
Right,Ump1,1.1027107790000001,3.198872002,BallCalled
Right,Ump1,-0.1002887708,2.789848352,StrikeCalled
Right,Ump1,0.9361031143,1.85943227,BallCalled
Right,Ump1,0.6635516476,2.633260857,StrikeCalled
Left,Ump1,1.274624427,1.828431126,StrikeCalled
Left,Ump1,1.598218123,3.637645835,BallCalled
Left,Ump1,2.429606755,3.703952901,BallCalled
Left,Ump1,1.3767807459999999,2.026183903,BallCalled
Left,Ump1,1.492827286,3.383471759,BallCalled
Right,Ump1,-1.103399975,3.715707628,BallCalled
Left,Ump1,0.8273814859999999,2.614483226,StrikeCalled
Left,Ump1,2.1851911,3.171340634,BallCalled
Left,Ump1,2.063480577,1.6862650119999998,BallCalled
Left,Ump1,-0.07267957609,1.317903883,BallCalled
Right,Ump1,0.5943204182999999,2.894137623,StrikeCalled
Left,Ump1,1.243080026,2.978012432,StrikeCalled
Left,Ump1,1.360304371,1.905293846,StrikeCalled
Left,Ump1,2.6526655690000003,5.967483766,BallCalled
Left,Ump1,0.2617481968,2.7495918089999996,StrikeCalled
Left,Ump1,-1.356691954,-0.43167052079999996,BallCalled
Left,Ump1,1.311095288,-0.3000477614,BallCalled
Left,Ump1,-0.7822188899,0.14510717539999998,BallCalled
Left,Ump1,1.4388205569999999,2.63035323,BallCalled
Left,Ump1,1.187186474,1.74347118,BallCalled
Right,Ump1,-0.576003636,2.920489223,StrikeCalled
Right,Ump1,-0.38642885509999997,0.8429534474,BallCalled
Right,Ump1,0.4748286345,1.205169745,BallCalled
Right,Ump1,0.3059882044,3.3320394510000004,BallCalled
Left,Ump1,1.294703643,2.5594316040000002,StrikeCalled
Left,Ump1,2.93614334,3.6151983530000003,BallCalled
Left,Ump1,3.4088365389999997,3.701331302,BallCalled
Right,Ump1,-0.5535669913,3.1747212080000002,BallCalled
Right,Ump1,-0.02916327335,2.880304231,StrikeCalled
Right,Ump1,-0.8057013064,2.450561789,StrikeCalled
Right,Ump1,-1.6830013680000002,1.952393286,BallCalled
Left,Ump1,1.06287667,0.4720728841,BallCalled
Left,Ump1,1.729812528,2.371855683,BallCalled
Left,Ump1,1.007797512,3.5856612969999997,BallCalled
Left,Ump1,0.8402205352,3.3280685639999996,BallCalled
Left,Ump1,1.57897615,2.313194656,BallCalled
Left,Ump1,3.237908286,3.5408463589999997,BallCalled
Left,Ump1,0.8788086096,2.48477959,StrikeCalled
Left,Ump1,1.73417642,2.609458103,BallCalled
Left,Ump1,1.393731464,2.655148301,BallCalled
Left,Ump1,-0.3594378225,3.0468711539999997,BallCalled
Right,Ump1,0.9638971695999999,1.383100784,BallCalled
Right,Ump1,1.4570141680000002,2.212969738,BallCalled
Right,Ump1,0.379417523,1.072825741,BallCalled
Left,Ump1,1.51522221,1.274913823,BallCalled
Left,Ump1,1.576650986,2.4568796880000003,BallCalled
Left,Ump1,0.3207461935,1.793447856,StrikeCalled
Left,Ump1,0.6901311871,1.2807136590000001,BallCalled
Left,Ump1,-0.07430471162999999,1.075566263,BallCalled
Right,Ump1,-1.0773866970000001,0.6536076905,BallCalled
Right,Ump1,-0.1208108658,1.288874543,BallCalled
Right,Ump1,0.5451142205,1.427542654,BallCalled
Right,Ump1,-0.5342859217,1.860235092,StrikeCalled
Right,Ump1,-3.1299029210000002,0.1989766728,BallCalled
Right,Ump1,1.574867309,3.297749492,BallCalled
Right,Ump1,0.47291911229999994,3.2292799260000002,StrikeCalled
Left,Ump1,1.4125752059999999,2.307877317,BallCalled
Right,Ump1,0.31114736719999997,3.346429428,BallCalled
Left,Ump1,0.2816341736,1.9298444240000001,StrikeCalled
Left,Ump1,1.61016494,2.1677529730000002,BallCalled
Right,Ump1,-0.7487117197,3.10909506,StrikeCalled
Right,Ump1,-0.6979891170999999,2.045812362,StrikeCalled
Left,Ump1,-0.7254189445,1.2296332909999999,BallCalled
Left,Ump1,-1.252711617,0.8960022143999999,BallCalled
Left,Ump1,-1.152205807,1.7159540340000001,BallCalled
Left,Ump1,1.323370784,1.8495211269999998,BallCalled
Left,Ump1,2.011932107,1.839393,BallCalled
Right,Ump1,-1.1584496990000002,3.401235942,BallCalled
Right,Ump1,-1.130351791,3.668556881,BallCalled
Right,Ump1,0.6707145373,3.0024683999999997,StrikeCalled
Right,Ump1,-2.072029858,2.727675208,BallCalled
Right,Ump1,-1.346078254,3.5257996830000002,BallCalled
Right,Ump1,-1.4391447,5.245128485,BallCalled
Right,Ump1,0.055842161210000005,4.152227729,BallCalled
Left,Ump1,0.7642914701000001,1.842374595,StrikeCalled
Left,Ump1,0.287829739,1.62050339,StrikeCalled
Left,Ump1,2.727761459,1.291648846,BallCalled
Left,Ump1,1.808828415,1.245219516,BallCalled
Right,Ump1,-1.0446828940000001,1.008623117,BallCalled
Right,Ump1,-0.665023571,1.9509534380000002,StrikeCalled
Right,Ump1,0.3640207921,1.900572269,StrikeCalled
Right,Ump1,0.6970106945000001,1.925379229,StrikeCalled
Left,Ump1,0.8684130395999999,1.66580206,StrikeCalled
Left,Ump1,0.7363850748999999,1.4988820790000001,StrikeCalled
Right,Ump1,0.5657186301,2.857016815,StrikeCalled
Left,Ump1,1.6015253930000002,1.122743807,BallCalled
Right,Ump1,-0.815691882,3.556930768,BallCalled
Right,Ump1,-0.6202401868999999,1.727251769,BallCalled
Right,Ump1,-0.5583964491,2.285142022,StrikeCalled
Left,Ump1,1.153145093,0.8703072668999999,BallCalled
Left,Ump1,0.961975135,1.542422327,StrikeCalled
