schedule_season,score_home,score_away,over_under_line,total_score,cover
2000,36.0,28.0,46.5,64.0,over
2000,16.0,13.0,40.0,29.0,under
2000,7.0,27.0,38.5,34.0,under
2000,14.0,41.0,39.5,55.0,over
2000,16.0,20.0,44.0,36.0,under
2000,14.0,27.0,44.0,41.0,under
2000,23.0,0.0,36.0,23.0,under
2000,30.0,27.0,46.5,57.0,over
2000,16.0,21.0,36.0,37.0,over
2000,10.0,14.0,40.5,24.0,under
2000,21.0,16.0,40.0,37.0,under
2000,9.0,6.0,39.5,15.0,under
2000,0.0,16.0,37.0,16.0,under
2000,20.0,17.0,47.5,37.0,under
2000,41.0,36.0,48.5,77.0,over
2000,32.0,31.0,38.5,63.0,over
2000,39.0,36.0,36.5,75.0,over
2000,27.0,18.0,38.5,45.0,over
2000,7.0,24.0,40.5,31.0,under
2000,42.0,14.0,47.0,56.0,over
2000,15.0,10.0,43.0,25.0,under
2000,31.0,38.0,44.0,69.0,over
2000,13.0,7.0,42.5,20.0,under
2000,18.0,33.0,39.5,51.0,over
2000,27.0,28.0,35.5,55.0,over
2000,22.0,38.0,48.0,60.0,over
2000,34.0,37.0,46.0,71.0,over
2000,41.0,0.0,36.5,41.0,over
2000,17.0,14.0,38.5,31.0,under
2000,20.0,19.0,39.5,39.0,under
2000,10.0,15.0,48.5,25.0,under
2000,7.0,14.0,42.0,21.0,under
2000,23.0,20.0,35.5,43.0,over
2000,10.0,31.0,34.5,41.0,over
2000,6.0,3.0,42.5,9.0,under
2000,13.0,0.0,41.0,13.0,under
2000,42.0,10.0,35.5,52.0,over
2000,19.0,6.0,34.5,25.0,under
2000,13.0,21.0,42.5,34.0,under
2000,27.0,14.0,38.5,41.0,over
2000,24.0,33.0,44.0,57.0,over
2000,20.0,10.0,40.0,30.0,under
2000,41.0,24.0,55.5,65.0,over
2000,21.0,27.0,44.0,48.0,over
2000,3.0,29.0,42.0,32.0,under
2000,20.0,41.0,55.0,61.0,over
2000,37.0,0.0,38.0,37.0,under
2000,14.0,21.0,37.5,35.0,under
2000,24.0,41.0,47.0,65.0,over
2000,22.0,23.0,43.0,45.0,over
2000,10.0,3.0,34.5,13.0,under
2000,7.0,21.0,38.0,28.0,under
2000,6.0,16.0,42.0,22.0,under
2000,36.0,10.0,40.5,46.0,over
2000,20.0,23.0,36.0,43.0,over
2000,12.0,20.0,36.0,32.0,under
2000,17.0,21.0,36.0,38.0,over
2000,43.0,14.0,45.0,57.0,over
2000,16.0,18.0,44.0,34.0,under
2000,13.0,16.0,47.5,29.0,under
2000,16.0,31.0,33.0,47.0,over
2000,0.0,12.0,37.0,12.0,under
2000,19.0,28.0,41.0,47.0,over
2000,24.0,31.0,42.5,55.0,over
2000,24.0,27.0,41.0,51.0,over
2000,13.0,24.0,38.5,37.0,under
2000,38.0,10.0,41.5,48.0,over
2000,27.0,20.0,47.5,47.0,under
2000,57.0,31.0,53.5,88.0,over
2000,28.0,14.0,38.0,42.0,over
2000,20.0,17.0,36.0,37.0,over
2000,24.0,17.0,38.5,41.0,over
2000,29.0,21.0,40.5,50.0,over
2000,6.0,13.0,42.0,19.0,under
2000,26.0,3.0,43.0,29.0,under
2000,10.0,31.0,40.0,41.0,over
2000,14.0,23.0,38.0,37.0,under
2000,31.0,24.0,43.0,55.0,over
2000,10.0,15.0,37.5,25.0,under
2000,22.0,13.0,34.5,35.0,over
2000,24.0,16.0,43.5,40.0,under
2000,3.0,20.0,37.5,23.0,under
2000,14.0,17.0,37.5,31.0,under
2000,7.0,21.0,43.0,28.0,under
2000,28.0,34.0,48.5,62.0,over
2000,30.0,23.0,39.0,53.0,over
2000,14.0,33.0,39.0,47.0,over
2000,27.0,24.0,36.5,51.0,over
2000,16.0,28.0,44.0,44.0,push
2000,44.0,10.0,44.0,54.0,over
2000,31.0,28.0,49.5,59.0,over
2000,17.0,20.0,43.5,37.0,under
2000,17.0,34.0,37.0,51.0,over
2000,24.0,6.0,40.5,30.0,under
2000,19.0,14.0,40.5,33.0,under
2000,15.0,0.0,37.0,15.0,under
2000,24.0,37.0,44.0,61.0,over
2000,45.0,29.0,58.5,74.0,over
2000,10.0,3.0,34.5,13.0,under
2000,27.0,13.0,38.0,40.0,over
2000,14.0,28.0,37.5,42.0,over
2000,19.0,21.0,40.0,40.0,push
2000,6.0,14.0,35.0,20.0,under
2000,34.0,16.0,50.0,50.0,push
2000,31.0,21.0,43.0,52.0,over
2000,48.0,7.0,41.5,55.0,over
2000,30.0,23.0,47.0,53.0,over
2000,16.0,35.0,36.0,51.0,over
2000,54.0,34.0,56.0,88.0,over
2000,31.0,27.0,44.5,58.0,over
2000,31.0,3.0,44.0,34.0,under
2000,13.0,9.0,41.0,22.0,under
2000,22.0,0.0,37.5,22.0,under
2000,40.0,37.0,35.0,77.0,over
2000,10.0,21.0,41.0,31.0,under
2000,13.0,12.0,45.5,25.0,under
2000,6.0,9.0,33.0,15.0,under
2000,23.0,20.0,41.0,43.0,over
2000,3.0,12.0,35.5,15.0,under
2000,17.0,23.0,44.5,40.0,under
2000,30.0,18.0,47.0,48.0,over
2000,28.0,20.0,38.5,48.0,over
2000,24.0,7.0,37.0,31.0,under
2000,13.0,15.0,42.5,28.0,under
2000,24.0,34.0,63.0,58.0,under
2000,19.0,24.0,43.0,43.0,push
2000,41.0,13.0,41.0,54.0,over
2000,21.0,27.0,37.5,48.0,over
2000,16.0,15.0,40.0,31.0,under
2000,14.0,27.0,40.0,41.0,over
2000,27.0,24.0,45.0,51.0,over
2000,7.0,27.0,32.5,34.0,over
2000,3.0,24.0,33.5,27.0,under
2000,8.0,23.0,39.0,31.0,under
2000,13.0,16.0,39.0,29.0,under
2000,31.0,15.0,48.0,46.0,under
2000,23.0,30.0,45.5,53.0,over
2000,49.0,31.0,44.0,80.0,over
2000,16.0,13.0,40.0,29.0,under
2000,17.0,15.0,39.5,32.0,under
2000,24.0,27.0,59.5,51.0,under
2000,9.0,7.0,36.5,16.0,under
2000,26.0,20.0,47.5,46.0,under
2000,20.0,3.0,39.5,23.0,under
2000,10.0,20.0,37.5,30.0,under
2000,19.0,11.0,32.0,30.0,under
2000,23.0,6.0,39.0,29.0,under
2000,13.0,10.0,40.0,23.0,under
2000,23.0,15.0,52.5,38.0,under
2000,21.0,28.0,40.5,49.0,over
2000,31.0,14.0,46.0,45.0,under
2000,24.0,38.0,48.5,62.0,over
2000,23.0,26.0,33.0,49.0,over
2000,7.0,17.0,33.5,24.0,under
2000,21.0,7.0,52.0,28.0,under
2000,20.0,15.0,42.0,35.0,under
2000,23.0,24.0,33.0,47.0,over
2000,27.0,24.0,50.0,51.0,over
2000,27.0,0.0,36.0,27.0,under
2000,13.0,10.0,36.0,23.0,under
2000,38.0,37.0,42.5,75.0,over
2000,26.0,24.0,46.0,50.0,over
2000,17.0,21.0,42.0,38.0,under
2000,3.0,20.0,38.5,23.0,under
2000,31.0,17.0,46.5,48.0,over
2000,16.0,13.0,36.0,29.0,under
2000,22.0,31.0,43.0,53.0,over
2000,21.0,31.0,36.5,52.0,over
2000,34.0,9.0,38.0,43.0,over
2000,24.0,34.0,37.0,58.0,over
2000,16.0,6.0,47.5,22.0,under
2000,24.0,10.0,35.5,34.0,under
2000,20.0,33.0,56.0,53.0,under
2000,15.0,27.0,48.0,42.0,under
2000,34.0,9.0,38.0,43.0,over
2000,7.0,31.0,39.0,38.0,under
2000,44.0,7.0,34.0,51.0,over
2000,28.0,48.0,34.0,76.0,over
2000,14.0,17.0,44.5,31.0,under
2000,16.0,13.0,41.5,29.0,under
2000,17.0,10.0,39.5,27.0,under
2000,41.0,14.0,44.0,55.0,over
2000,17.0,16.0,41.0,33.0,under
2000,31.0,38.0,45.5,69.0,over
2000,24.0,31.0,53.5,55.0,over
2000,31.0,17.0,37.0,48.0,over
2000,20.0,23.0,37.0,43.0,over
2000,31.0,14.0,44.0,45.0,over
2000,24.0,17.0,48.5,41.0,under
2000,10.0,30.0,42.0,40.0,under
2000,6.0,33.0,36.0,39.0,over
2000,16.0,3.0,58.0,19.0,under
2000,6.0,28.0,39.0,34.0,under
2000,24.0,13.0,38.5,37.0,under
2000,48.0,0.0,39.0,48.0,over
2000,23.0,38.0,45.0,61.0,over
2000,27.0,17.0,44.0,44.0,push
2000,13.0,15.0,36.5,28.0,under
2000,21.0,20.0,42.0,41.0,under
2000,17.0,45.0,44.0,62.0,over
2000,27.0,7.0,37.0,34.0,under
2000,7.0,9.0,38.0,16.0,under
2000,30.0,24.0,41.0,54.0,over
2000,24.0,3.0,36.5,27.0,under
2000,24.0,17.0,36.5,41.0,over
2000,24.0,35.0,35.5,59.0,over
2000,32.0,13.0,39.0,45.0,over
2000,31.0,24.0,48.0,55.0,over
2000,26.0,13.0,41.0,39.0,under
2000,44.0,10.0,42.0,54.0,over
2000,15.0,14.0,42.0,29.0,under
2000,13.0,16.0,34.5,29.0,under
2000,30.0,10.0,35.5,40.0,over
2000,31.0,7.0,47.0,38.0,under
2000,27.0,31.0,47.5,58.0,over
2000,40.0,29.0,56.5,69.0,over
2000,35.0,3.0,36.0,38.0,over
2000,44.0,20.0,45.0,64.0,over
2000,24.0,3.0,37.5,27.0,under
